series_key,source_provider,source_tier,source_role,evidence_purpose,source_url,retrieval_date_utc,frequency,currency,return_convention,period_start,period_end,n_observations,sha256,transformations,licence_status,data_status
CORE,FTSE Russell / LSEG (historic index values),1,EVIDENCE,"availability_and_coverage: documents that the freely accessible history is about two years of month-end values, far short of the 360 required",https://www.lseg.com/en/ftse-russell/index-resources/historic-index-values,2026-08-24T08:21:18+00:00,monthly,USD,total_return,,,0,,"FTSE All-World NR USD -> monthly log returns, then an EXPLICIT USD->EUR conversion for the EUR investor. That conversion is a required transformation, not an optional one, and it collides with the B.5 decision fx=EXCLUDED_BY_DESIGN - see SPECIFICATION_CONFLICTS below.",LICENCE_REQUIRED,NETWORK_BLOCKED
CORE,FTSE Russell / LSEG (licence terms),1,EVIDENCE,"licence_terms: documents that use and distribution of LSEG index data require a licence, and that longer history is a subscription product",https://www.lseg.com/en/ftse-russell/index-resources,2026-08-24T08:21:18+00:00,monthly,USD,total_return,,,0,,"FTSE All-World NR USD -> monthly log returns, then an EXPLICIT USD->EUR conversion for the EUR investor. That conversion is a required transformation, not an optional one, and it collides with the B.5 decision fx=EXCLUDED_BY_DESIGN - see SPECIFICATION_CONFLICTS below.",LICENCE_REQUIRED,NETWORK_BLOCKED
CORE,Vanguard (fund NAV),5,EVIDENCE,"availability: documents share class inception 2019-07-23, establishing INSUFFICIENT_HISTORY",https://www.vanguard.co.uk/professional/product/etf/equity/9679/ftse-all-world-ucits-etf-usd-accumulating,2026-08-24T08:21:18+00:00,monthly,USD,total_return,,,0,,"FTSE All-World NR USD -> monthly log returns, then an EXPLICIT USD->EUR conversion for the EUR investor. That conversion is a required transformation, not an optional one, and it collides with the B.5 decision fx=EXCLUDED_BY_DESIGN - see SPECIFICATION_CONFLICTS below.",LICENCE_UNKNOWN,NETWORK_BLOCKED
CORE,MSCI,1,EVIDENCE,licence_terms (different index; retained for the record only),https://www.msci.com/end-of-day-data-search,2026-08-24T08:21:19+00:00,monthly,USD,total_return,,,0,,"FTSE All-World NR USD -> monthly log returns, then an EXPLICIT USD->EUR conversion for the EUR investor. That conversion is a required transformation, not an optional one, and it collides with the B.5 decision fx=EXCLUDED_BY_DESIGN - see SPECIFICATION_CONFLICTS below.",LICENCE_REQUIRED,NETWORK_BLOCKED
CORE,Kenneth R. French Data Library (Dartmouth),4,DATA_ARTIFACT,,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/Developed_3_Factors_CSV.zip,2026-08-24T08:21:19+00:00,monthly,USD,total_return,,,0,,"FTSE All-World NR USD -> monthly log returns, then an EXPLICIT USD->EUR conversion for the EUR investor. That conversion is a required transformation, not an optional one, and it collides with the B.5 decision fx=EXCLUDED_BY_DESIGN - see SPECIFICATION_CONFLICTS below.",LICENCE_UNKNOWN,NETWORK_BLOCKED
GOLD,LBMA / ICE Benchmark Administration,1,EVIDENCE,licence_terms: documents that historical prices moved into MyLBMA and require an IBA licence,https://www.lbma.org.uk/prices-and-data/lbma-precious-metal-prices,2026-08-24T08:21:20+00:00,monthly,EUR,price_only,,,0,,"LBMA PM auction price, month-end; EUR series or USD with a documented FX treatment (currently out of scope per B.5)",LICENCE_REQUIRED,NETWORK_BLOCKED
GOLD,World Bank (Pink Sheet),5,DATA_ARTIFACT,,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx,2026-08-24T08:21:20+00:00,monthly,EUR,price_only,,,0,,"LBMA PM auction price, month-end; EUR series or USD with a documented FX treatment (currently out of scope per B.5)",OPEN,NETWORK_BLOCKED
GOLD,Deutsche Bundesbank,2,DATA_ARTIFACT,,https://api.statistiken.bundesbank.de/rest/download/BBEX3/D.USD.EUR.BB.AC.000,2026-08-24T08:21:20+00:00,monthly,EUR,price_only,,,0,,"LBMA PM auction price, month-end; EUR series or USD with a documented FX treatment (currently out of scope per B.5)",OPEN,NETWORK_BLOCKED
SP500,S&P Dow Jones Indices,1,EVIDENCE,licence_terms,https://www.spglobal.com/spdji/,2026-08-24T08:21:21+00:00,monthly,USD,total_return,,,0,,total return index -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
SP500,Robert Shiller (Yale) online data,4,DATA_ARTIFACT,,http://www.econ.yale.edu/~shiller/data/ie_data.xls,2026-08-24T08:21:21+00:00,monthly,USD,total_return,,,0,,total return index -> monthly log returns,OPEN,NETWORK_BLOCKED
NASDAQ,Nasdaq,1,EVIDENCE,licence_terms,https://www.nasdaq.com/market-activity/index/ndx,2026-08-24T08:21:21+00:00,monthly,USD,price_only,,,0,,index level -> monthly log returns,LICENCE_UNKNOWN,NETWORK_BLOCKED
DAX,Deutsche Boerse / STOXX,1,EVIDENCE,licence_terms,https://www.stoxx.com/index-details?symbol=DAX,2026-08-24T08:21:21+00:00,monthly,EUR,total_return,,,0,,performance index level -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
EUROPE,STOXX,1,EVIDENCE,licence_terms,https://www.stoxx.com/,2026-08-24T08:21:22+00:00,monthly,EUR,total_return,,,0,,net total return index -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
JAPAN,Japan Exchange Group,1,EVIDENCE,availability_and_licence_terms,https://www.jpx.co.jp/english/markets/indices/topix/,2026-08-24T08:21:22+00:00,monthly,JPY,total_return,,,0,,TOPIX total return -> monthly log returns,LICENCE_UNKNOWN,NETWORK_BLOCKED
EM,MSCI,1,EVIDENCE,licence_terms,https://www.msci.com/,2026-08-24T08:21:22+00:00,monthly,USD,total_return,,,0,,net total return index -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
EM,Kenneth R. French Data Library,4,DATA_ARTIFACT,,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/Emerging_5_Factors_CSV.zip,2026-08-24T08:21:22+00:00,monthly,USD,total_return,,,0,,net total return index -> monthly log returns,OPEN,NETWORK_BLOCKED
DIVIDEND,MSCI,1,EVIDENCE,licence_terms,https://www.msci.com/,2026-08-24T08:21:23+00:00,monthly,EUR,total_return,,,0,,net total return index -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
COMMOD,Bloomberg,5,EVIDENCE,licence_terms,https://www.bloomberg.com/professional/product/indices/bloomberg-commodity-index-family/,2026-08-24T08:21:23+00:00,monthly,USD,total_return,,,0,,index level -> monthly log returns,LICENCE_REQUIRED,NETWORK_BLOCKED
HICP_EA,European Central Bank Data Portal (source: Eurostat),2,DATA_ARTIFACT,,https://data-api.ecb.europa.eu/service/data/HICP/M.U2.N.000000.4D0.ANR?format=csvdata,2026-08-24T08:21:23+00:00,monthly,index,rate,,,0,,annual rate of change -> monthly inflation for the OU calibration,OPEN,NETWORK_BLOCKED
HICP_EA,Eurostat,3,DATA_ARTIFACT,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/prc_hicp_manr,2026-08-24T08:21:24+00:00,monthly,index,rate,,,0,,annual rate of change -> monthly inflation for the OU calibration,OPEN,NETWORK_BLOCKED
CPI_DE,Statistisches Bundesamt (Destatis),3,DATA_ARTIFACT,,https://www-genesis.destatis.de/genesisWS/rest/2020/data/table?name=61111-0001,2026-08-24T08:21:24+00:00,monthly,index,rate,,,0,,index -> monthly inflation,OPEN,NETWORK_BLOCKED
SHORT_RATE_EA,Deutsche Bundesbank,2,DATA_ARTIFACT,,https://api.statistiken.bundesbank.de/rest/data/BBMMB/M.EU000A2X2A25.WT?format=csv&lang=de,2026-08-24T08:21:24+00:00,monthly,rate,rate,,,0,,"Native €STR from 2019-10 requires NO transformation. Extending backwards with EONIA is a SPLICE: EONIA ran under its own methodology to 2019-09-30, then was mechanically €STR + 8.5 bp from 2019-10-02 until discontinuation on 2022-01-03. The splice must carry its own documented rule and data_status and must never be applied silently.",OPEN,NETWORK_BLOCKED
BUND_LONG_YIELD,Deutsche Bundesbank,2,DATA_ARTIFACT,,https://api.statistiken.bundesbank.de/rest/data/BBSIS/M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A?format=csv&lang=de,2026-08-24T08:21:25+00:00,monthly,rate,rate,,,0,,monthly average yield; compare against the published BMF Basiszins values to validate the B.2 coupling,OPEN,NETWORK_BLOCKED
